job_title_id,job_title
1,Senior / Medical Writer (Regulatory)
2,Manager of Biometrics
3,Field Service Engineer | Chromatography
4,Data Manager of Project Management
5,Strategic Market Analyst
6,Senior Mechanical Design Engineer
7,Head of Quality Excellence
8,Quality Assurance (QA) Document Controller
9,Clinical Data Team Lead
10,SENIOR HEALTH ECONOMIST
11,Advanced Medical Writer
12,*Clinical Research Associate Or SrCRA (F / M)
13,Study Coordinator
14,Regulatory Affairs Specialist (Medical Devices) Homebased UK / EU
15,"Regulatory Operations Leader, Switzerland"
16,Trainee Sales Rep *4
17,Program Coordinator
18,Sales Specialist
19,Clinical Supplies Manager
20,Medical Writer
21,Regulatory Affairs Manager
22,Business Development Manager
23,Senior Medical Writing
24,Clinical Sales Manager
25,Principal Statistician
26,Medical Lead
27,Quality / Validation Engineer
28,QA Site Operations Manager
29,HEALTH ECONOMIST
30,Senior Regulatory Executive
31,Associate Director Medical Affairs Haematology UK
32,GP Representative
33,Nurse Advisor
34,CRA II
35,Interim Medical Information Specialist
36,Sales Excellence Manager
37,Regulatory Affairs Specialist
38,Scientific Projects Leader
39,Innovation Formulation Senior Manager
40,"Medical Writer, Independent Agency / London"
41,Quality Engineer
42,Senior/Principal Data Manager
43,GCP QA Manager
44,Senior Regulatory Affairs
45,GMP Laboratory Manager
46,Regional Sales Manager
47,Product Specialist
48,Regulatory Affairs Officer
49,Mid
50,Senior / Principal Biostatistician
51,Senior Pharmacovigilance Executive
52,Experienced Medical Writing
53,"Senior Director, Regulatory Affairs"
54,Lead Data Managers
55,Principal Regulatory Affairs Specialist
56,Design Quality Engineer x2
57,Pharmaceutical Wholesale
58,Native English Medical Writer
59,Clinical QA
60,Executive Director of Research
61,Recruitment Manager
62,Responsable PV
63,"Associate Medical Director Haematology / Oncology, Munich"
64,Senior Account Manager
65,Supply Chain Project Manager
66,Pricing Manager France
67,German speaking Validation Engineer
68,Medical Advisor
69,Senior Medical Writer
70,Medical Writing and much more
71,Associate Sales Representative
72,Regional Medical Director
73,Account Manager
74,Regulatory Information Management Consultant
75,Quality Manager
76,Senior CRA / SCRA
77,Marketing Manager
78,Hospital Business Manager
79,Quality Engineer (Contractor Day
80,Territory Manager
81,Quality Director & QP
82,Clinical Sales Specialist
83,Drug Safety Associate I
84,Territory Sales Manager / Sales Representative BPV
85,Project Manager for Analytics Project
86,Statistical Programmer
87,"Team Leader, Biostatistics"
88,Strategic Raw Chemical Material Purchaser
89,Medical Information & Safety Specialist
90,Homebased: Regulatory / Medical Affairs Consultant
91,Scientific Manager (Entomology / Terrestrial Ecotoxicology)
92,Cell Therapy Account Manager
93,Senior Health Economist
94,Data & Quality Manager
95,Medical Representative
96,Head of Pharmacological Research
97,QA Manager
98,Statistical Programmers of all levels
99,Key Account Manager
100,"Regulatory Affairs Manager, Development"
101,Senior Brand Manager
102,Statistical Methodology Expert for HTA
103,HEALTH ECONOMICS ANALYST
104,Drug Safety Scientist
105,Clinical / Systematic Reviews
106,QA
107,DIRECTOR OF HEALTH ECONOMICS
108,Digital Project Manager
109,Upstream Processing Technician
110,Associate Director
111,Scientific Medical Writer
112,Senior / Principal Statistical Programmer
113,Regulatory Senior Consultant
114,EU Scientific Affairs Manager
115,Senior Biostatistician (Real World Evidence)
116,Global Senior Health Economics and Outcomes Research Manager
117,Drug Safety Project Manager
118,Senior Bioinformatics Scientist
119,Clinical Trial Manager
120,Feasibility Analyst
121,Clinical Research Associate
122,phase I Specialized Monitor
123,Senior Pharmacy Manager
124,Medical Field Service Engineer
125,Senior Drug Safety Specialist
126,Principal / Senior Medical Writer
127,Senior Statistician
128,"Regulatory Affairs Manager: Freelancer, CMC, Switzerland"
129,Regional Business Leader
130,PASS Statistician
131,Study Start Up Manager
132,PhD Holder? Medical Writer
133,Multi
134,Clinical Data Manager
135,Global Market & Product Analyst
136,Junior Health Economist SWITZERLAND
137,Regional Business Manager
138,Are You a Post Doctoral Research Fellow?Medical Writing
139,Digital Marketing Manager
140,FREELANCE: Electronic Trial Master (eTMF)
141,Senior / Regulatory Manager
142,Commissioning Engineer (Industrial Systems)
143,Global Clinical Project Manager
144,Quality Specialist
145,Pharmaceutical Account Manager
146,Hospital Account Executive
147,Senior Scientist
148,"QA GMP Specialist, Production"
149,Associate Medical Director
150,HR Business Partner / Advisor
151,Senior Statistician (R& D + Clinical)
152,"Director, EU Regulatory Affairs"
153,IT PROJECT MANAGER
154,Senior Product Design Engineer
155,Clinical Research Physician
156,HEALTH ECONOMICS MANAGER
157,Development Scientist
158,Statisticians
159,Senior Medical Writer Regulatory
160,Director Patient Advocacy
161,Head of Marketing
162,Data Coordinator 3
163,Validation Engineer
164,Research Physician 2
165,Project Manager
166,Trainee Sales Rep *3
167,QC Scientist
168,Regional Buisness Manager
169,Health Economics Manager
170,Scientific Advisor
171,CQV Engineer
172,Head of Global PV Compliance & Training
173,Medical Director of PV / QPPV
174,Clinical Relations Specialist (Manchester or Merseyside)
175,Pharmacovigilance Scientist
176,Product Manager
177,Primary Care Representative
178,Global Health Economics and Outcomes Research Manager (Snr)
179,Senior Manager / Associate Director QA (CMO)
180,Lead Scientist (Histology)
181,Key Account Manager Oncology
182,Drug Safety Reporting Specialist
183,Sales Associate medical devices
184,Human Factors Consultant
185,Bi
186,Pharmaceutical Production / Manufacturing Manager
187,Project Data Manager
188,Pharmacist Manager
189,Senior Medical Writer Needed!
190,Regulatory Affairs Senior Manager
191,Disability / Physiotherapy A& E Hospital Medical Sales
192,Graduate Opportunties
193,Germany Endo
194,"Manager, Statistical Programming"
195,Global Forecasting Director
196,Project Managers
197,Clinical Operations (CRA Manager)
198,Head of Drug Safety & Pharmacovigilance
199,Product Evaluation Specialist
200,Account Director (Events)
201,Regulatory Medical Writer Needed!
202,Associate Medical Writer
203,Medical Director
204,Senior Statistical Programmer
205,Lead Programmer
206,Principle Medical Writer
207,Medical Communication Account Manager (Several Needed)
208,Medical Manager
209,Clinical Data Management Project Manager
210,QA Specialist (Systems) 12 Month FTC
211,Graduate Digital Sales Representative
212,Lead Data Engineer
213,SSU & Regulatory Specialist II (Spain)
214,"QA GMP Manager, CMO Management"
215,Business Development Director
216,Programmer
217,Account Director
218,Quality Manager / QM / ISO 13485 / Quality Assurance / QA /
219,Statistical Programmers
220,Wound Care Sales
221,IT Support Analyst
222,Epidemiologist
223,"HEOR, MARKET ACCESS, RWD"
224,Talent Acquisition Specialist
225,*Senior Clinical Trial Associate*
226,Biostatistician
227,Automation Sales Consultant
228,Senior Consultant
229,Principal Statistical Programmer
230,Sales Representative Diagnostics
231,Dental Territory Manager
232,Scientific Project Manager (Jnr PM)
233,PV Systems / Database Specialist
234,Scientific Inside Sales
235,Team Lead
236,Field Service Engineer (Medical Systems)
237,Quality Assurance Manager / Director
238,BIOSTATISTICIAN
239,Senior Account Executive
240,Clinical Data Manager I / II
241,Training and Development Manager
242,Registered Nurse
243,Home
244,"Manager, Biostatistics"
245,Medical Sales Territory Manager
246,HR Specialist
247,Clinical Trial Design Methodology Expert
248,Senior Director Clinical Quality (GCP)
249,IVD & Organic Medical Device Auditor
250,Ophthalmic Surgical Medical Sales
251,"Global Clinical Project Manager, Phase IV"
252,Senior Regulatory Affairs Associate
253,Healthcare Comms
254,Clinical Marketing Specialist
255,Supplier Quality Manager
256,GCP Quality Assurance Associate
257,Head of Quality Operations
258,Regulatory Writing Lead
259,Global Clinical Operations
260,Head of Regulatory Affairs
261,Electrical Field Service Engineer
262,Senior Medical Writing Manager
263,Trial Data Scientist
264,Medical Communitcation Writer
265,Assistant(e)s De Projets Cliniques
266,Hospital Account Specialist
267,Interim Senior Manager QA Operations
268,Account Executive
269,Calling all PV Managers
270,Client Services Director
271,Senior Statistical SAS Programmer
272,Graduate Trainee Medical Sales
273,Head of Quality
274,Manufacturing & R& D QA Engineer
275,Flow Cytometry Sales Specialist
276,Healthcare Development Manager
277,Senior Clinical Research Associate
278,Applications Support Specialist (Scientific Sales)
279,Senior Dosimetrist
280,Medical Information Associate
281,Senior Regulatory
282,QC Analyst
283,Senior Quality Specialist
284,CRA
285,"Senior Project Manager, Med Communications"
286,Vice President Market Access / VP Market Access
287,MSL x 3
288,Senior Research Physician
289,R& D Manager
290,Market Access and BDM Manager
291,Global Observational Project Manager
292,Associate Director of PV Operations
293,Clinical Project Manager (Phase I / Pharmacology)
294,Regulatory Sub (Study Start
295,"Trainee Medical Pharma Sales Representative, Gloucestershire"
296,Medical Sales Representative
297,Systems Requirements Engineer
298,European Sales Manager
299,Process Development Team Leader
300,Senior GC Analyst
301,Clinical Support Specialist
302,Validation Officer
303,SENIOR MEDICAL DIRECTOR
304,Product Marketing Specialist
305,Group Health Economics Manager
306,Director ATMPS Regulatory Affairs
307,QA auditor
308,Senior Pharmacometrician
309,QA / CAPA Manager
310,Technical Sales Estimator
311,Senior Clinical Research Physician/ Principle Investigator
312,Hospital Specialist
313,Medical Affairs Director
314,Scientific Advisor / Scientific Communications Manager
315,Freelance: Medical Director
316,Medical Advisor / Senior Medical Advisor (Oncology)
317,Marketing Coordinator | Life Sciences
318,Qualified Person
319,Clinical Project Administrator
320,Medical Communication Writer
321,Product Specialist. neuromodulation. Lombardia
322,Clinical Nurse Educator
323,"Bids, Tender & Pricing Specialist"
324,Area Sales Manager
325,GCP Quality Assurance Manager
326,Global Regulatory Affairs Senior Planning Specialist
327,"*Clinical Research Associate Or SrCRA (F / M), Home"
328,Therapy Representative
329,Senior SAS Programmers
330,Automation CSV Lead
331,Analytical Scientist
332,Process Technician
333,IT and Digital Marketing Manager
334,Freelance: Senior Clinical Research Associate
335,Clinical Research Associate Needed!
336,Sales Executive
337,Health Economist
338,Senior Regulatory Affairs Specialist
339,AM / AD
340,Junior R& D Project Manager
341,Process Lead Engineer
342,Pharmaceutical Product Manager (m / w)
343,GCP / GVP Quality Specialist
344,Head of Medical Affairs Oncology UK
345,"Contract Clinical SAS Programmer (SDTM focused), Basel"
346,Head Of CMC (Chemistry Manufacturing and Controls)
347,Quality Assurance Consultant
348,QMS Consultant
349,Life Sciences Copywriter
350,Senior Data Manager
351,Scientific Project Manager
352,Regulatory Toxicologist
353,Anti
354,Senior Statistical Programmer UK or Italy
355,Contract Senior Programmer
356,"Account Manager, Medical Communications, London"
357,Territory Sales Manager / Sales Representative
358,Senior Clinical Project Manager
359,Innovation Formulation Manager
360,Applications Administrator I
361,Technical Expert
362,Senior Modelling & Simulation Specialist
363,Homebased: Senior Medical / Regulatory Affairs Consultant
364,Scientific Writer Needed
365,Medical Affairs professional
366,Statistical Programmer II
367,GMP Production Manager
368,Prinicple Consultant
369,QA Manager (GMP / GDP)
370,"Associate Director, Medical Affairs"
371,Clinical Trial Administrator
